no;dilutions;C2H2.26;C2H2.01;GAPDH
1;1;25.57823;24.25;22.60794
2;1;25.53636;24.13;22.68348
3;1;25.5028;24.04;22.62602
4;0.5;26.70615;25.56;23.67162
5;0.5;26.7272;25.43;23.64855
6;0.5;26.86921;26.01;23.70494
7;0.2;28.16874;27.37;25.11064
8;0.2;28.06759;26.94;25.11985
9;0.2;28.10531;27.14;25.10976
10;0.1;29.19743;28.05;26.16919
11;0.1;29.49406;28.89;26.15119
12;0.1;29.07117;28.32;26.15019
13;0.05;30.16878;29.5;27.11533
14;0.05;30.14193;29.93;27.13934
15;0.05;30.11671;29.71;27.16338
16;0.02;31.34969;30.69;28.52016
17;0.02;31.35254;30.54;28.57228
18;0.02;31.34804;30.04;28.531
19;0.01;32.55013;31.12;29.49048
20;0.01;32.45329;31.29;29.48433
21;0.01;32.27515;31.15;29.26234
